,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Min Ver,Max Ver
0,Photo Editor & Candy Camera & Grid & ScrapBook,ART_AND_DESIGN,4.1,159,19.0,10000.0,Free,0.0,Everyone,['Art & Design'],"January 7, 2018",1.0.0,4.0.3,4.0.3,
1,Coloring book moana,ART_AND_DESIGN,3.9,967,14.0,500000.0,Free,0.0,Everyone,"['Art & Design', 'Pretend Play']","January 15, 2018",2.0.0,4.0.3,4.0.3,
2,"U Launcher Lite – FREE Live Cool Themes, Hide Apps",ART_AND_DESIGN,4.7,87510,8.7,5000000.0,Free,0.0,Everyone,['Art & Design'],"August 1, 2018",1.2.4,4.0.3,4.0.3,
3,Pixel Draw - Number Art Coloring Book,ART_AND_DESIGN,4.3,967,2.8,100000.0,Free,0.0,Everyone,"['Art & Design', 'Creativity']","June 20, 2018",1.1.0,4.4.0,4.4.0,
4,Paper flowers instructions,ART_AND_DESIGN,4.4,167,5.6,50000.0,Free,0.0,Everyone,['Art & Design'],"March 26, 2017",1.0.0,2.3.0,2.3.0,
5,Smoke Effect Photo Maker - Smoke Editor,ART_AND_DESIGN,3.8,178,19.0,50000.0,Free,0.0,Everyone,['Art & Design'],"April 26, 2018",1.1.0,4.0.3,4.0.3,
6,Infinite Painter,ART_AND_DESIGN,4.1,36815,29.0,1000000.0,Free,0.0,Everyone,['Art & Design'],"June 14, 2018",6.1.61.1,4.2.0,4.2.0,
7,Garden Coloring Book,ART_AND_DESIGN,4.4,13791,33.0,1000000.0,Free,0.0,Everyone,['Art & Design'],"September 20, 2017",2.9.2,3.0.0,3.0.0,
8,Kids Paint Free - Drawing Fun,ART_AND_DESIGN,4.7,121,3.1,10000.0,Free,0.0,Everyone,"['Art & Design', 'Creativity']","July 3, 2018",2.8.0,4.0.3,4.0.3,
9,Text on Photo - Fonteee,ART_AND_DESIGN,4.4,13880,28.0,1000000.0,Free,0.0,Everyone,['Art & Design'],"October 27, 2017",1.0.4,4.1.0,4.1.0,
10,Name Art Photo Editor - Focus n Filters,ART_AND_DESIGN,4.4,8788,12.0,1000000.0,Free,0.0,Everyone,['Art & Design'],"July 31, 2018",1.0.15,4.0.0,4.0.0,
11,Tattoo Name On My Photo Editor,ART_AND_DESIGN,4.2,44829,20.0,10000000.0,Free,0.0,Teen,['Art & Design'],"April 2, 2018",3.8.0,4.1.0,4.1.0,
12,Mandala Coloring Book,ART_AND_DESIGN,4.6,4326,21.0,100000.0,Free,0.0,Everyone,['Art & Design'],"June 26, 2018",1.0.4,4.4.0,4.4.0,
13,3D Color Pixel by Number - Sandbox Art Coloring,ART_AND_DESIGN,4.4,1518,37.0,100000.0,Free,0.0,Everyone,['Art & Design'],"August 3, 2018",1.2.3,2.3.0,2.3.0,
14,Photo Designer - Write your name with shapes,ART_AND_DESIGN,4.7,3632,5.5,500000.0,Free,0.0,Everyone,['Art & Design'],"July 31, 2018",3.1.0,4.1.0,4.1.0,
15,350 Diy Room Decor Ideas,ART_AND_DESIGN,4.5,27,17.0,10000.0,Free,0.0,Everyone,['Art & Design'],"November 7, 2017",1.0.0,2.3.0,2.3.0,
16,FlipaClip - Cartoon animation,ART_AND_DESIGN,4.3,194216,39.0,5000000.0,Free,0.0,Everyone,['Art & Design'],"August 3, 2018",2.2.5,4.0.3,4.0.3,
